AccelerometerEvent sender: /android/brenner, time: 1341234143321, x:  0.124065801501, y:  0.944658458233, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234143336, x:  0.126019597054, y:  0.944658458233, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234143376, x:  0.129927173257, y:  0.944658458233, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234143384, x:  0.129927173257, y:  0.944658458233, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234143416, x:  0.127973392606, y:  0.944658458233, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234143446, x:  0.127973392606, y:  0.944658458233, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234143456, x:  0.131880968809, y:  0.944658458233, z:  0.084013059735
AccelerometerEvent sender: /android/brenner, time: 1341234143496, x:  0.126019597054, y:  0.945635437965, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234143509, x:  0.126019597054, y:  0.945635437965, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234143536, x:  0.124065801501, y:  0.943681597710, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234143571, x:  0.124065801501, y:  0.943681597710, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234143576, x:  0.127973392606, y:  0.946612298489, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234143616, x:  0.129927173257, y:  0.947589218616, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234143634, x:  0.129927173257, y:  0.947589218616, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234143656, x:  0.126996502280, y:  0.946612298489, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234143696, x:  0.129927173257, y:  0.946612298489, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234143939, x:  0.126996502280, y:  0.943681597710, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234143946, x:  0.126996502280, y:  0.943681597710, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234143976, x:  0.128950282931, y:  0.946612298489, z:  0.090851336718
AccelerometerEvent sender: /android/brenner, time: 1341234144008, x:  0.128950282931, y:  0.946612298489, z:  0.090851336718
AccelerometerEvent sender: /android/brenner, time: 1341234144016, x:  0.126996502280, y:  0.944658458233, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234144056, x:  0.127973392606, y:  0.944658458233, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234144071, x:  0.127973392606, y:  0.944658458233, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234144096, x:  0.127973392606, y:  0.947589218616, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234144133, x:  0.127973392606, y:  0.947589218616, z:  0.088897548616
AccelerometerEvent sender: /android/brenner, time: 1341234144136, x:  0.127973392606, y:  0.942704737186, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234144176, x:  0.124065801501, y:  0.946612298489, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234144196, x:  0.124065801501, y:  0.946612298489, z:  0.085966855288
AccelerometerEvent sender: /android/brenner, time: 1341234144216, x:  0.124065801501, y:  0.946612298489, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144256, x:  0.123088911176, y:  0.944658458233, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234144259, x:  0.123088911176, y:  0.944658458233, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234144296, x:  0.123088911176, y:  0.945635437965, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144321, x:  0.123088911176, y:  0.945635437965, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144336, x:  0.125042706728, y:  0.944658458233, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234144377, x:  0.123088911176, y:  0.944658458233, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144384, x:  0.123088911176, y:  0.944658458233, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144417, x:  0.120158217847, y:  0.945635437965, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144446, x:  0.120158217847, y:  0.945635437965, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144457, x:  0.124065801501, y:  0.946612298489, z:  0.082059271634
AccelerometerEvent sender: /android/brenner, time: 1341234144497, x:  0.119181320071, y:  0.944658458233, z:  0.081082373857
AccelerometerEvent sender: /android/brenner, time: 1341234144509, x:  0.119181320071, y:  0.944658458233, z:  0.081082373857
AccelerometerEvent sender: /android/brenner, time: 1341234144537, x:  0.111366152763, y:  0.940750956535, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234144571, x:  0.111366152763, y:  0.940750956535, z:  0.080105476081
AccelerometerEvent sender: /android/brenner, time: 1341234144577, x:  0.113319940865, y:  0.952473700047, z:  0.077174790204
AccelerometerEvent sender: /android/brenner, time: 1341234144617, x:  0.121135108173, y:  0.946612298489, z:  0.077174790204
AccelerometerEvent sender: /android/brenner, time: 1341234144634, x:  0.121135108173, y:  0.946612298489, z:  0.077174790204
AccelerometerEvent sender: /android/brenner, time: 1341234144657, x:  0.129927173257, y:  0.951496839523, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234144697, x:  0.145557507873, y:  0.944658458233, z:  0.098666504025
AccelerometerEvent sender: /android/brenner, time: 1341234144698, x:  0.145557507873, y:  0.944658458233, z:  0.098666504025
AccelerometerEvent sender: /android/brenner, time: 1341234144737, x:  0.125042706728, y:  0.939773976803, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234144759, x:  0.125042706728, y:  0.939773976803, z:  0.089874438941
AccelerometerEvent sender: /android/brenner, time: 1341234144777, x:  0.126996502280, y:  0.943681597710, z:  0.095735818148
AccelerometerEvent sender: /android/brenner, time: 1341234144817, x:  0.128950282931, y:  0.949542999268, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234144821, x:  0.128950282931, y:  0.949542999268, z:  0.086943753064
AccelerometerEvent sender: /android/brenner, time: 1341234144857, x:  0.127973392606, y:  0.949542999268, z:  0.075220994651
AccelerometerEvent sender: /android/brenner, time: 1341234144884, x:  0.127973392606, y:  0.949542999268, z:  0.075220994651
AccelerometerEvent sender: /android/brenner, time: 1341234144897, x:  0.126019597054, y:  0.946612298489, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234144937, x:  0.118204429746, y:  0.946612298489, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144946, x:  0.118204429746, y:  0.946612298489, z:  0.084989957511
AccelerometerEvent sender: /android/brenner, time: 1341234144989, x:  0.131880968809, y:  0.940750956535, z:  0.087920650840
AccelerometerEvent sender: /android/brenner, time: 1341234146001, x:  0.144580617547, y:  0.948566079140, z:  0.111366152763
AccelerometerEvent sender: /android/brenner, time: 1341234146013, x:  0.144580617547, y:  0.948566079140, z:  0.111366152763
AccelerometerEvent sender: /android/brenner, time: 1341234146048, x:  0.140673041344, y:  0.934889554977, z:  0.100620292127
AccelerometerEvent sender: /android/brenner, time: 1341234146071, x:  0.140673041344, y:  0.934889554977, z:  0.100620292127
AccelerometerEvent sender: /android/brenner, time: 1341234146072, x:  0.131880968809, y:  0.950519859791, z:  0.098666504025
AccelerometerEvent sender: /android/brenner, time: 1341234146112, x:  0.132857874036, y:  0.945635437965, z:  0.090851336718
AccelerometerEvent sender: /android/brenner, time: 1341234146133, x:  0.132857874036, y:  0.945635437965, z:  0.090851336718
AccelerometerEvent sender: /android/brenner, time: 1341234146152, x:  0.124065801501, y:  0.939773976803, z:  0.083036161959
AccelerometerEvent sender: /android/brenner, time: 1341234146192, x:  0.105504773557, y:  0.947589218616, z:  0.079128578305
AccelerometerEvent sender: /android/brenner, time: 1341234146196, x:  0.105504773557, y:  0.947589218616, z:  0.079128578305
AccelerometerEvent sender: /android/brenner, time: 1341234146233, x:  0.112343050539, y:  0.946612298489, z:  0.072290308774
