800,,,,,,
spreading,52,60,,,,
ACCEL,2011-03-17 10:50:03.060,107,689,0.1835938,-0.2539063,-1.21875
ACCEL,2011-03-17 10:50:03.080,107,690,0.1953125,-0.2382813,-1.078125
ACCEL,2011-03-17 10:50:03.100,107,691,0.203125,-0.234375,-1.007813
ACCEL,2011-03-17 10:50:03.120,107,692,0.1679688,-0.234375,-0.9257813
ACCEL,2011-03-17 10:50:03.140,107,693,0.203125,-0.1992188,-0.8515625
ACCEL,2011-03-17 10:50:03.141,107,694,0.2695313,-0.140625,-0.8007813
ACCEL,2011-03-17 10:50:03.161,107,695,0.3984375,-0.1054688,-0.8046875
ACCEL,2011-03-17 10:50:03.181,107,696,0.4960938,-0.1210938,-0.8515625
ACCEL,2011-03-17 10:50:03.201,107,697,0.5585938,-0.109375,-0.8085938
ACCEL,2011-03-17 10:50:03.221,107,698,0.5273438,-0.09375,-0.828125
ACCEL,2011-03-17 10:50:03.241,107,699,0.578125,-0.07421875,-0.8476563
ACCEL,2011-03-17 10:50:03.261,107,700,0.65625,-0.06640625,-0.8671875
ACCEL,2011-03-17 10:50:03.281,107,701,0.6796875,-0.0390625,-0.8789063
ACCEL,2011-03-17 10:50:03.333,107,702,0.5898438,-0.0078125,-0.9023438
ACCEL,2011-03-17 10:50:03.353,107,703,0.4882813,-0.01953125,-1.039063
ACCEL,2011-03-17 10:50:03.373,107,704,0.2304688,-0.4570313,-1.890625
ACCEL,2011-03-17 10:50:03.393,107,705,0.3320313,-0.1484375,-1.347656
ACCEL,2011-03-17 10:50:03.413,107,706,0.4960938,-0.1054688,-0.9648438
ACCEL,2011-03-17 10:50:03.433,107,707,0.4023438,-0.1445313,-1.101563
ACCEL,2011-03-17 10:50:03.453,107,708,0.2773438,-0.25,-1.296875
ACCEL,2011-03-17 10:50:03.453,107,709,0.3515625,-0.1445313,-1.136719
ACCEL,2011-03-17 10:50:03.473,107,710,0.4375,-0.109375,-0.9882813
ACCEL,2011-03-17 10:50:03.493,107,711,0.4414063,-0.109375,-1.136719
ACCEL,2011-03-17 10:50:03.513,107,712,0.453125,-0.01171875,-0.953125
ACCEL,2011-03-17 10:50:03.533,107,713,0.2695313,-0.02734375,-1.039063
ACCEL,2011-03-17 10:50:03.553,107,714,0.2851563,-0.09765625,-1.003906
ACCEL,2011-03-17 10:50:03.573,107,715,0.1757813,-0.05859375,-0.9726563
ACCEL,2011-03-17 10:50:03.593,107,716,0.1601563,-0.03515625,-0.921875
ACCEL,2011-03-17 10:50:03.625,107,717,0.1132813,-0.0703125,-1.035156
ACCEL,2011-03-17 10:50:03.645,107,718,0.109375,-0.06640625,-1.082031
ACCEL,2011-03-17 10:50:03.665,107,719,0.1601563,-0.07421875,-1.117188
ACCEL,2011-03-17 10:50:03.685,107,720,0.0625,-0.1367188,-1.191406
ACCEL,2011-03-17 10:50:03.705,107,721,-0.04296875,-0.2226563,-1.253906
ACCEL,2011-03-17 10:50:03.725,107,722,-0.03515625,-0.2382813,-1.195313
ACCEL,2011-03-17 10:50:03.745,107,723,0.07421875,-0.2304688,-1.058594
ACCEL,2011-03-17 10:50:03.765,107,724,0.1953125,-0.1914063,-0.9140625
ACCEL,2011-03-17 10:50:03.781,107,725,0.1992188,-0.1132813,-0.7929688
ACCEL,2011-03-17 10:50:03.801,107,726,0.2382813,-0.046875,-0.7929688
ACCEL,2011-03-17 10:50:03.821,107,727,0.3710938,-0.02734375,-0.859375
ACCEL,2011-03-17 10:50:03.841,107,728,0.6601563,-0.05078125,-0.9140625
ACCEL,2011-03-17 10:50:03.861,107,729,0.859375,-0.02734375,-0.9179688
ACCEL,2011-03-17 10:50:03.881,107,730,0.859375,0.02734375,-0.890625
ACCEL,2011-03-17 10:50:03.901,107,731,0.6875,0.07421875,-0.9296875
ACCEL,2011-03-17 10:50:03.921,107,732,0.4726563,0.09375,-0.9960938
ACCEL,2011-03-17 10:50:03.953,107,733,0.3203125,-0.00390625,-1.195313
ACCEL,2011-03-17 10:50:03.973,107,734,0.125,-0.00390625,-1.300781
ACCEL,2011-03-17 10:50:03.993,107,735,0.2734375,-0.046875,-1.203125
ACCEL,2011-03-17 10:50:04.013,107,736,0.3710938,-0.05859375,-1.117188
ACCEL,2011-03-17 10:50:04.033,107,737,0.2070313,-0.00390625,-1.125
ACCEL,2011-03-17 10:50:04.053,107,738,-0.01171875,-0.0390625,-1.167969
ACCEL,2011-03-17 10:50:04.073,107,739,-0.01171875,-0.03515625,-1.136719
ACCEL,2011-03-17 10:50:04.093,107,740,0.1757813,0.01953125,-0.9882813
ACCEL,2011-03-17 10:50:04.110,107,741,0.2460938,0.1015625,-0.8046875
ACCEL,2011-03-17 10:50:04.130,107,742,0.1914063,0.1132813,-0.9804688
ACCEL,2011-03-17 10:50:04.150,107,743,0.04296875,0.05078125,-1.246094
ACCEL,2011-03-17 10:50:04.170,107,744,0.03125,0.0859375,-1.019531
ACCEL,2011-03-17 10:50:04.190,107,745,0.03125,0.06640625,-0.9257813
ACCEL,2011-03-17 10:50:04.210,107,746,0.06640625,0.07421875,-0.9492188
ACCEL,2011-03-17 10:50:04.230,107,747,0,0.06640625,-0.9570313
ACCEL,2011-03-17 10:50:04.250,107,748,-0.09765625,-0.0078125,-0.9570313
ACCEL,2011-03-17 10:50:04.266,107,749,-0.5195313,-0.0625,-1.011719
ACCEL,2011-03-17 10:50:04.286,107,750,-0.2734375,-0.09765625,-1.054688
ACCEL,2011-03-17 10:50:04.306,107,751,-0.25,-0.1679688,-1.082031
ACCEL,2011-03-17 10:50:04.326,107,752,-0.1796875,-0.1757813,-1.070313
ACCEL,2011-03-17 10:50:04.346,107,753,-0.2109375,-0.15625,-0.9375
ACCEL,2011-03-17 10:50:04.366,107,754,-0.04296875,-0.2695313,-1.199219
ACCEL,2011-03-17 10:50:04.386,107,755,0.1054688,-0.2578125,-1.144531
ACCEL,2011-03-17 10:50:04.406,107,756,0.2617188,-0.2539063,-1.242188
ACCEL,2011-03-17 10:50:04.422,107,757,0.3085938,-0.4023438,-1.253906
ACCEL,2011-03-17 10:50:04.442,107,758,0.2226563,-0.34375,-1.199219
ACCEL,2011-03-17 10:50:04.462,107,759,0.25,-0.3320313,-1.085938
ACCEL,2011-03-17 10:50:04.482,107,760,0.3359375,-0.3007813,-0.9726563
ACCEL,2011-03-17 10:50:04.502,107,761,0.359375,-0.2382813,-0.8515625
ACCEL,2011-03-17 10:50:04.522,107,762,0.4140625,-0.1992188,-0.9023438
ACCEL,2011-03-17 10:50:04.542,107,763,0.4570313,-0.1484375,-0.9453125
ACCEL,2011-03-17 10:50:04.562,107,764,0.484375,-0.08203125,-0.9414063
ACCEL,2011-03-17 10:50:04.598,107,765,0.4804688,-0.02734375,-0.9335938
ACCEL,2011-03-17 10:50:04.618,107,766,0.4101563,0.015625,-0.9375
ACCEL,2011-03-17 10:50:04.638,107,767,0.3554688,0.0390625,-1.007813
ACCEL,2011-03-17 10:50:04.658,107,768,0.3320313,0.02734375,-1.082031
ACCEL,2011-03-17 10:50:04.678,107,769,0.2890625,0.02734375,-1.117188
ACCEL,2011-03-17 10:50:04.698,107,770,0.09765625,0.0078125,-1.328125
ACCEL,2011-03-17 10:50:04.718,107,771,-0.1914063,-0.06640625,-1.191406
ACCEL,2011-03-17 10:50:04.719,107,772,0.7695313,0.140625,-1.027344
ACCEL,2011-03-17 10:50:04.739,107,773,0.4570313,0.109375,-0.9804688
ACCEL,2011-03-17 10:50:04.759,107,774,0.2617188,0.1171875,-0.8515625
ACCEL,2011-03-17 10:50:04.779,107,775,0.1289063,0.171875,-1.039063
ACCEL,2011-03-17 10:50:04.799,107,776,0.05078125,0.1484375,-1.054688
ACCEL,2011-03-17 10:50:04.819,107,777,0.0546875,0.015625,-0.875
ACCEL,2011-03-17 10:50:04.839,107,778,-0.07421875,0.00390625,-0.9765625
ACCEL,2011-03-17 10:50:04.859,107,779,-0.1054688,-0.015625,-1.015625
ACCEL,2011-03-17 10:50:04.891,107,780,-0.109375,-0.04296875,-1.023438
ACCEL,2011-03-17 10:50:04.911,107,781,-0.125,-0.07421875,-0.9609375
ACCEL,2011-03-17 10:50:04.931,107,782,-0.07421875,-0.08203125,-0.9609375
ACCEL,2011-03-17 10:50:04.951,107,783,-0.05859375,-0.08984375,-0.9921875
ACCEL,2011-03-17 10:50:04.971,107,784,-0.1054688,-0.1210938,-1.042969
ACCEL,2011-03-17 10:50:04.991,107,785,-0.2539063,-0.2460938,-1.1875
ACCEL,2011-03-17 10:50:05.011,107,786,-0.2460938,-0.3515625,-1.269531
ACCEL,2011-03-17 10:50:05.031,107,787,-0.08984375,-0.3828125,-1.238281
ACCEL,2011-03-17 10:50:05.043,107,788,0.0703125,-0.328125,-1.242188
ACCEL,2011-03-17 10:50:05.063,107,789,0.1367188,-0.5078125,-1.121094
ACCEL,2011-03-17 10:50:05.083,107,790,0.234375,-0.4375,-1
ACCEL,2011-03-17 10:50:05.103,107,791,0.4414063,-0.3984375,-1.011719
ACCEL,2011-03-17 10:50:05.123,107,792,0.5234375,-0.3671875,-1.015625
ACCEL,2011-03-17 10:50:05.143,107,793,0.5351563,-0.3125,-0.9804688
ACCEL,2011-03-17 10:50:05.163,107,794,0.515625,-0.25,-0.9414063
ACCEL,2011-03-17 10:50:05.183,107,795,0.5351563,-0.1835938,-0.9296875
ACCEL,2011-03-17 10:50:05.203,107,796,0.5390625,-0.1484375,-0.9414063
ACCEL,2011-03-17 10:50:05.215,107,797,0.4570313,-0.1171875,-0.984375
ACCEL,2011-03-17 10:50:05.235,107,798,0.359375,-0.08984375,-1.078125
ACCEL,2011-03-17 10:50:05.255,107,799,0.3046875,-0.0625,-1.125
ACCEL,2011-03-17 10:50:05.275,107,800,0.3085938,-0.03515625,-1.066406
ACCEL,2011-03-17 10:50:05.295,107,801,0.3125,0,-1.023438
ACCEL,2011-03-17 10:50:05.315,107,802,0.359375,0.06640625,-0.9414063
ACCEL,2011-03-17 10:50:05.335,107,803,0.328125,0.1015625,-0.984375
ACCEL,2011-03-17 10:50:05.355,107,804,0.265625,0.1484375,-1.027344
ACCEL,2011-03-17 10:50:05.375,107,805,0.2460938,0.08203125,-1.191406
ACCEL,2011-03-17 10:50:05.406,107,806,0.234375,0.171875,-1.046875
ACCEL,2011-03-17 10:50:05.426,107,807,0.0859375,0.1601563,-1.109375
ACCEL,2011-03-17 10:50:05.446,107,808,-0.03125,0.078125,-1.042969
ACCEL,2011-03-17 10:50:05.466,107,809,-0.07421875,0.0390625,-0.9570313
ACCEL,2011-03-17 10:50:05.486,107,810,-0.078125,0.01171875,-0.9179688
ACCEL,2011-03-17 10:50:05.506,107,811,-0.078125,-0.05078125,-0.9882813
ACCEL,2011-03-17 10:50:05.526,107,812,-0.1054688,-0.09375,-1.019531
ACCEL,2011-03-17 10:50:05.546,107,813,-0.109375,-0.140625,-1.039063
ACCEL,2011-03-17 10:50:05.563,107,814,-0.07421875,-0.1796875,-1.039063
ACCEL,2011-03-17 10:50:05.583,107,815,-0.0078125,-0.234375,-1.074219
ACCEL,2011-03-17 10:50:05.603,107,816,-0.078125,-0.2773438,-1.09375
ACCEL,2011-03-17 10:50:05.623,107,817,-0.0234375,-0.2265625,-1.082031
ACCEL,2011-03-17 10:50:05.643,107,818,-0.09765625,-0.5585938,-1.179688
ACCEL,2011-03-17 10:50:05.663,107,819,0.0703125,-0.5,-1.179688
ACCEL,2011-03-17 10:50:05.683,107,820,0.1328125,-0.5,-1.105469
ACCEL,2011-03-17 10:50:05.703,107,821,0.2265625,-0.4726563,-1.0625
ACCEL,2011-03-17 10:50:05.735,107,822,0.3632813,-0.4335938,-1.097656
ACCEL,2011-03-17 10:50:05.755,107,823,0.4921875,-0.3867188,-1.089844
ACCEL,2011-03-17 10:50:05.775,107,824,0.5,-0.2890625,-0.9921875
ACCEL,2011-03-17 10:50:05.795,107,825,0.546875,-0.1953125,-0.9296875
ACCEL,2011-03-17 10:50:05.815,107,826,0.5625,-0.1171875,-0.8554688
ACCEL,2011-03-17 10:50:05.835,107,827,0.453125,-0.06640625,-0.875
ACCEL,2011-03-17 10:50:05.855,107,828,0.3046875,-0.046875,-0.9492188
ACCEL,2011-03-17 10:50:05.875,107,829,0.2421875,-0.01953125,-1.015625
ACCEL,2011-03-17 10:50:05.886,107,830,0.3671875,-0.01171875,-1.070313
ACCEL,2011-03-17 10:50:05.906,107,831,0.4335938,0.04296875,-1.046875
ACCEL,2011-03-17 10:50:05.926,107,832,0.3867188,0.0859375,-1.035156
ACCEL,2011-03-17 10:50:05.946,107,833,0.08203125,0.01953125,-1.230469
ACCEL,2011-03-17 10:50:05.966,107,834,0.0859375,-0.0234375,-1.113281
ACCEL,2011-03-17 10:50:05.986,107,835,0.3867188,0.0234375,-1.046875
ACCEL,2011-03-17 10:50:06.006,107,836,0.4960938,0.05078125,-0.9882813
ACCEL,2011-03-17 10:50:06.026,107,837,0.0625,-0.1796875,-1.046875
ACCEL,2011-03-17 10:50:06.046,107,838,0.2421875,0.0390625,-1.160156
ACCEL,2011-03-17 10:50:06.067,107,839,0.234375,0.203125,-0.8945313
ACCEL,2011-03-17 10:50:06.087,107,840,-0.02734375,-0.00390625,-1.015625
ACCEL,2011-03-17 10:50:06.107,107,841,0.00390625,-0.01171875,-0.9882813
ACCEL,2011-03-17 10:50:06.127,107,842,-0.046875,-0.04296875,-0.9804688
ACCEL,2011-03-17 10:50:06.147,107,843,-0.05859375,-0.0546875,-0.9101563
ACCEL,2011-03-17 10:50:06.167,107,844,0.0078125,-0.078125,-0.9101563
ACCEL,2011-03-17 10:50:06.187,107,845,0.00390625,-0.109375,-0.9609375
ACCEL,2011-03-17 10:50:06.219,107,846,-0.00390625,-0.1601563,-1.03125
ACCEL,2011-03-17 10:50:06.239,107,847,0.0078125,-0.2070313,-1.085938
ACCEL,2011-03-17 10:50:06.259,107,848,0.05859375,-0.2539063,-1.09375
ACCEL,2011-03-17 10:50:06.279,107,849,0.109375,-0.3203125,-1.191406
ACCEL,2011-03-17 10:50:06.299,107,850,0,-0.3242188,-1.242188
ACCEL,2011-03-17 10:50:06.319,107,851,0.1953125,-0.9335938,-1.320313
ACCEL,2011-03-17 10:50:06.339,107,852,-0.0078125,-0.4921875,-1.238281
ACCEL,2011-03-17 10:50:06.359,107,853,0.04296875,-0.4257813,-1.074219
ACCEL,2011-03-17 10:50:06.375,107,854,0.1523438,-0.3398438,-0.9726563
ACCEL,2011-03-17 10:50:06.395,107,855,0.28125,-0.2460938,-0.9101563
ACCEL,2011-03-17 10:50:06.415,107,856,0.421875,-0.1640625,-0.8789063
ACCEL,2011-03-17 10:50:06.435,107,857,0.4765625,-0.1289063,-0.8359375
ACCEL,2011-03-17 10:50:06.455,107,858,0.5859375,-0.01171875,-0.765625
ACCEL,2011-03-17 10:50:06.475,107,859,0.6171875,0.0703125,-0.75
ACCEL,2011-03-17 10:50:06.495,107,860,0.6601563,0.1015625,-0.84375
ACCEL,2011-03-17 10:50:06.515,107,861,0.6796875,0.0859375,-0.9804688
ACCEL,2011-03-17 10:50:06.531,107,862,0.6210938,0.08203125,-1.078125
ACCEL,2011-03-17 10:50:06.551,107,863,0.4492188,0.0078125,-1.359375
ACCEL,2011-03-17 10:50:06.571,107,864,0.4414063,0.0078125,-1.117188
ACCEL,2011-03-17 10:50:06.591,107,865,0.4179688,0.00390625,-1.175781
ACCEL,2011-03-17 10:50:06.611,107,866,0.08203125,-0.05078125,-1.203125
ACCEL,2011-03-17 10:50:06.631,107,867,0.265625,0.0234375,-1.164063
ACCEL,2011-03-17 10:50:06.651,107,868,0.203125,-0.0390625,-1.03125
