800,,,,,,
chopping,225,250,,,,
ACCEL,2011-03-17 10:25:02.906,107,332,0.1484375,-0.03515625,-0.05859375
ACCEL,2011-03-17 10:25:02.926,107,333,-0.7617188,0.2695313,0.01953125
ACCEL,2011-03-17 10:25:02.946,107,334,-0.703125,0.078125,-0.0546875
ACCEL,2011-03-17 10:25:02.966,107,335,-0.5273438,0.1445313,0.046875
ACCEL,2011-03-17 10:25:02.986,107,336,0.0234375,0.2734375,-0.06640625
ACCEL,2011-03-17 10:25:03.006,107,337,2.792969,-0.328125,-0.2460938
ACCEL,2011-03-17 10:25:03.026,107,338,3.402344,-0.5703125,-0.40625
ACCEL,2011-03-17 10:25:03.046,107,339,2.464844,-0.8320313,-0.5234375
ACCEL,2011-03-17 10:25:03.083,107,340,1.507813,-0.578125,-0.109375
ACCEL,2011-03-17 10:25:03.103,107,341,1.074219,-0.359375,0
ACCEL,2011-03-17 10:25:03.123,107,342,0.6601563,-0.0703125,-0.01953125
ACCEL,2011-03-17 10:25:03.143,107,343,0.1601563,-0.02734375,-0.05859375
ACCEL,2011-03-17 10:25:03.163,107,344,-0.3515625,0.3476563,-0.2265625
ACCEL,2011-03-17 10:25:03.183,107,345,-0.765625,0.1601563,0.02734375
ACCEL,2011-03-17 10:25:03.203,107,346,-0.71875,0.1835938,0.0390625
ACCEL,2011-03-17 10:25:03.215,107,347,0.05078125,0.2851563,-0.08203125
ACCEL,2011-03-17 10:25:03.235,107,348,2.789063,-0.2734375,0.015625
ACCEL,2011-03-17 10:25:03.255,107,349,3.6875,-0.5390625,-0.3242188
ACCEL,2011-03-17 10:25:03.275,107,350,2.667969,-0.4960938,-0.6171875
ACCEL,2011-03-17 10:25:03.295,107,351,1.660156,-0.6171875,-0.1484375
ACCEL,2011-03-17 10:25:03.315,107,352,1.128906,-0.3125,-0.1640625
ACCEL,2011-03-17 10:25:03.335,107,353,0.71875,-0.08984375,0.078125
ACCEL,2011-03-17 10:25:03.355,107,354,0.3085938,-0.00390625,-0.05078125
ACCEL,2011-03-17 10:25:03.375,107,355,0.4765625,0.4257813,-0.1992188
ACCEL,2011-03-17 10:25:03.406,107,356,-0.6875,0.08203125,0.15625
ACCEL,2011-03-17 10:25:03.426,107,357,-0.75,0.1367188,-0.04296875
ACCEL,2011-03-17 10:25:03.446,107,358,0.03515625,0.3164063,-0.08984375
ACCEL,2011-03-17 10:25:03.466,107,359,2.34375,-0.0703125,-0.05859375
ACCEL,2011-03-17 10:25:03.486,107,360,3.53125,-0.5507813,-0.2929688
ACCEL,2011-03-17 10:25:03.506,107,361,2.828125,-0.7421875,-0.9726563
ACCEL,2011-03-17 10:25:03.526,107,362,1.730469,-0.6054688,-0.46875
ACCEL,2011-03-17 10:25:03.546,107,363,1.089844,-0.4648438,-0.109375
ACCEL,2011-03-17 10:25:03.558,107,364,0.8203125,-0.1914063,-0.08984375
ACCEL,2011-03-17 10:25:03.578,107,365,0.3242188,-0.015625,-0.015625
ACCEL,2011-03-17 10:25:03.598,107,366,0.3164063,0.2695313,-0.046875
ACCEL,2011-03-17 10:25:03.618,107,367,-0.4414063,0.08203125,-0.0625
ACCEL,2011-03-17 10:25:03.638,107,368,-0.4492188,0.109375,-0.00390625
ACCEL,2011-03-17 10:25:03.658,107,369,0.04296875,0.2851563,-0.08984375
ACCEL,2011-03-17 10:25:03.678,107,370,2.589844,-0.3671875,-0.2304688
ACCEL,2011-03-17 10:25:03.698,107,371,3.144531,-0.6875,-0.9570313
ACCEL,2011-03-17 10:25:03.718,107,372,2.355469,-0.65625,-0.7929688
ACCEL,2011-03-17 10:25:03.735,107,373,1.429688,-0.5234375,-0.3476563
ACCEL,2011-03-17 10:25:03.755,107,374,0.8867188,-0.359375,-0.0703125
ACCEL,2011-03-17 10:25:03.775,107,375,0.5039063,-0.09765625,-0.0859375
ACCEL,2011-03-17 10:25:03.795,107,376,0.1210938,-0.046875,-0.03515625
ACCEL,2011-03-17 10:25:03.815,107,377,-0.6445313,0.125,0.5625
ACCEL,2011-03-17 10:25:03.835,107,378,-0.7929688,0.1328125,0
ACCEL,2011-03-17 10:25:03.855,107,379,-0.4492188,0.2695313,-0.09765625
ACCEL,2011-03-17 10:25:03.875,107,380,0.9023438,-0.01953125,-0.4335938
ACCEL,2011-03-17 10:25:03.911,107,381,3.191406,-0.40625,-0.359375
ACCEL,2011-03-17 10:25:03.931,107,382,3.25,-0.6328125,-0.9882813
ACCEL,2011-03-17 10:25:03.951,107,383,2.324219,-0.7070313,-0.5390625
ACCEL,2011-03-17 10:25:03.971,107,384,1.453125,-0.5507813,-0.1132813
ACCEL,2011-03-17 10:25:03.991,107,385,0.9804688,-0.3242188,0.1445313
ACCEL,2011-03-17 10:25:04.011,107,386,0.6445313,-0.08203125,-0.00390625
ACCEL,2011-03-17 10:25:04.031,107,387,0.2421875,-0.0078125,-0.046875
ACCEL,2011-03-17 10:25:04.047,107,388,0.06640625,-0.0390625,-0.0703125
ACCEL,2011-03-17 10:25:04.067,107,389,-0.640625,0.08984375,-0.0390625
ACCEL,2011-03-17 10:25:04.087,107,390,-0.6367188,0.1328125,0.015625
ACCEL,2011-03-17 10:25:04.107,107,391,0.07421875,0.2148438,-0.09375
ACCEL,2011-03-17 10:25:04.127,107,392,2.558594,-0.09375,-0.109375
ACCEL,2011-03-17 10:25:04.147,107,393,3.339844,-0.4179688,-0.765625
ACCEL,2011-03-17 10:25:04.167,107,394,2.765625,-0.7578125,-0.9609375
ACCEL,2011-03-17 10:25:04.187,107,395,1.722656,-0.6328125,-0.484375
ACCEL,2011-03-17 10:25:04.208,107,396,1.101563,-0.4335938,-0.203125
ACCEL,2011-03-17 10:25:04.228,107,397,0.8867188,-0.21875,-0.2070313
ACCEL,2011-03-17 10:25:04.248,107,398,0.546875,-0.03515625,-0.01953125
ACCEL,2011-03-17 10:25:04.268,107,399,0.1953125,-0.0234375,-0.05078125
ACCEL,2011-03-17 10:25:04.288,107,400,-0.359375,0.203125,-0.21875
ACCEL,2011-03-17 10:25:04.308,107,401,-0.6757813,0.046875,0.0234375
ACCEL,2011-03-17 10:25:04.328,107,402,-0.4453125,0.06640625,-0.00390625
ACCEL,2011-03-17 10:25:04.344,107,403,1.148438,0.3242188,0.5429688
ACCEL,2011-03-17 10:25:04.364,107,404,2.738281,-0.3671875,-0.2929688
ACCEL,2011-03-17 10:25:04.384,107,405,3.21875,-0.4765625,-0.9296875
ACCEL,2011-03-17 10:25:04.404,107,406,2.535156,-0.6835938,-0.9453125
ACCEL,2011-03-17 10:25:04.424,107,407,1.554688,-0.6015625,-0.5429688
ACCEL,2011-03-17 10:25:04.444,107,408,1.023438,-0.390625,-0.2851563
ACCEL,2011-03-17 10:25:04.464,107,409,0.65625,-0.1289063,-0.1875
ACCEL,2011-03-17 10:25:04.484,107,410,0.2578125,-0.01953125,-0.109375
ACCEL,2011-03-17 10:25:04.500,107,411,0.1367188,0.2382813,-0.2617188
ACCEL,2011-03-17 10:25:04.520,107,412,-0.6640625,0.1367188,0.03515625
ACCEL,2011-03-17 10:25:04.540,107,413,-0.6523438,0.1601563,0.4921875
ACCEL,2011-03-17 10:25:04.560,107,414,-0.01171875,0.2148438,0
ACCEL,2011-03-17 10:25:04.580,107,415,0.7734375,-0.53125,-0.6796875
ACCEL,2011-03-17 10:25:04.600,107,416,3.171875,-0.3945313,-0.9609375
ACCEL,2011-03-17 10:25:04.620,107,417,3.171875,-0.5195313,-1.058594
ACCEL,2011-03-17 10:25:04.640,107,418,2.230469,-0.46875,-0.5703125
ACCEL,2011-03-17 10:25:04.652,107,419,1.421875,-0.5390625,-0.1796875
ACCEL,2011-03-17 10:25:04.672,107,420,1.007813,-0.265625,-0.1054688
ACCEL,2011-03-17 10:25:04.692,107,421,0.6054688,-0.04296875,-0.08984375
ACCEL,2011-03-17 10:25:04.712,107,422,0.1796875,-0.015625,-0.04296875
ACCEL,2011-03-17 10:25:04.732,107,423,-0.9648438,0.3789063,0.2539063
ACCEL,2011-03-17 10:25:04.752,107,424,-0.7265625,0.0859375,0.078125
ACCEL,2011-03-17 10:25:04.772,107,425,-0.78125,0.1796875,0.1289063
ACCEL,2011-03-17 10:25:04.792,107,426,0.05859375,0.3710938,-0.109375
ACCEL,2011-03-17 10:25:04.812,107,427,2.46875,-0.06640625,-0.6015625
ACCEL,2011-03-17 10:25:04.844,107,428,3.371094,-0.4257813,-0.96875
ACCEL,2011-03-17 10:25:04.864,107,429,2.929688,-0.53125,-0.9101563
ACCEL,2011-03-17 10:25:04.884,107,430,1.972656,-0.7734375,-0.3320313
ACCEL,2011-03-17 10:25:04.904,107,431,1.320313,-0.4726563,-0.1132813
ACCEL,2011-03-17 10:25:04.924,107,432,0.984375,-0.2109375,-0.07421875
ACCEL,2011-03-17 10:25:04.944,107,433,0.59375,0,-0.08203125
ACCEL,2011-03-17 10:25:04.964,107,434,0.1835938,-0.01953125,-0.07421875
ACCEL,2011-03-17 10:25:04.984,107,435,-0.9453125,0.0078125,0.015625
ACCEL,2011-03-17 10:25:04.996,107,436,-0.8125,-0.015625,0.09375
ACCEL,2011-03-17 10:25:05.016,107,437,-0.7773438,0.078125,0.1015625
ACCEL,2011-03-17 10:25:05.036,107,438,-0.04296875,0.2773438,-0.02734375
ACCEL,2011-03-17 10:25:05.056,107,439,2.046875,-0.1601563,-0.6289063
ACCEL,2011-03-17 10:25:05.076,107,440,5.109375,-0.5039063,-1.261719
ACCEL,2011-03-17 10:25:05.096,107,441,2.945313,-0.4257813,-0.6992188
ACCEL,2011-03-17 10:25:05.116,107,442,1.773438,-0.59375,-0.4453125
ACCEL,2011-03-17 10:25:05.136,107,443,1.304688,-0.40625,-0.1289063
ACCEL,2011-03-17 10:25:05.156,107,444,0.9179688,-0.1015625,-0.109375
ACCEL,2011-03-17 10:25:05.188,107,445,0.5039063,0.01953125,-0.1171875
ACCEL,2011-03-17 10:25:05.208,107,446,0.1445313,-0.015625,-0.0703125
ACCEL,2011-03-17 10:25:05.228,107,447,-0.5585938,0.1914063,-0.04296875
ACCEL,2011-03-17 10:25:05.248,107,448,-0.640625,-0.04296875,0.03515625
ACCEL,2011-03-17 10:25:05.268,107,449,-0.6953125,-0.0078125,0.3671875
ACCEL,2011-03-17 10:25:05.288,107,450,-0.02734375,0.0078125,-0.00390625
ACCEL,2011-03-17 10:25:05.308,107,451,2.800781,0.1796875,0.0390625
ACCEL,2011-03-17 10:25:05.328,107,452,3.371094,-0.4023438,-0.9921875
ACCEL,2011-03-17 10:25:05.348,107,453,3.269531,-0.53125,-0.6289063
ACCEL,2011-03-17 10:25:05.368,107,454,1.972656,-0.7148438,-0.625
ACCEL,2011-03-17 10:25:05.388,107,455,1.214844,-0.46875,-0.1953125
ACCEL,2011-03-17 10:25:05.408,107,456,0.7578125,-0.21875,-0.07421875
ACCEL,2011-03-17 10:25:05.428,107,457,0.3242188,-0.02734375,-0.05078125
ACCEL,2011-03-17 10:25:05.448,107,458,0.4726563,0.4375,-0.1875
ACCEL,2011-03-17 10:25:05.468,107,459,-0.6328125,0.15625,0.0625
ACCEL,2011-03-17 10:25:05.480,107,460,-0.9101563,0.1601563,-0.015625
ACCEL,2011-03-17 10:25:05.500,107,461,-0.3515625,0.2382813,0.0078125
ACCEL,2011-03-17 10:25:05.520,107,462,0.890625,-0.1289063,-0.046875
ACCEL,2011-03-17 10:25:05.540,107,463,3.492188,-0.4140625,-0.2734375
ACCEL,2011-03-17 10:25:05.560,107,464,3.347656,-0.5351563,-1.136719
ACCEL,2011-03-17 10:25:05.580,107,465,2.183594,-0.7382813,-1.191406
ACCEL,2011-03-17 10:25:05.600,107,466,1.414063,-0.5976563,-0.4296875
ACCEL,2011-03-17 10:25:05.620,107,467,0.9453125,-0.3671875,-0.1796875
ACCEL,2011-03-17 10:25:05.640,107,468,0.6875,-0.1132813,-0.1875
ACCEL,2011-03-17 10:25:05.661,107,469,0.3867188,-0.0625,-0.1054688
ACCEL,2011-03-17 10:25:05.681,107,470,0.3007813,0.390625,-0.08203125
ACCEL,2011-03-17 10:25:05.701,107,471,-0.3945313,0.00390625,-0.09375
ACCEL,2011-03-17 10:25:05.721,107,472,-0.6835938,0.06640625,-0.00390625
ACCEL,2011-03-17 10:25:05.741,107,473,-0.3085938,0.05859375,0.0234375
ACCEL,2011-03-17 10:25:05.761,107,474,1.171875,0.171875,-0.0859375
ACCEL,2011-03-17 10:25:05.781,107,475,2.984375,-0.3125,-0.1484375
ACCEL,2011-03-17 10:25:05.817,107,476,3.472656,-0.5429688,-0.8515625
ACCEL,2011-03-17 10:25:05.837,107,477,2.28125,-0.6484375,-1.199219
ACCEL,2011-03-17 10:25:05.857,107,478,1.519531,-0.609375,-0.5429688
ACCEL,2011-03-17 10:25:05.877,107,479,0.984375,-0.3671875,-0.2734375
ACCEL,2011-03-17 10:25:05.897,107,480,0.6054688,-0.1015625,-0.1914063
ACCEL,2011-03-17 10:25:05.917,107,481,0.1992188,-0.02734375,-0.0859375
ACCEL,2011-03-17 10:25:05.937,107,482,0.06640625,0.375,-0.05859375
ACCEL,2011-03-17 10:25:05.949,107,483,-0.5625,0.15625,0.1679688
ACCEL,2011-03-17 10:25:05.969,107,484,-0.6640625,0.1171875,0.15625
ACCEL,2011-03-17 10:25:05.989,107,485,-0.01953125,0.1601563,0
ACCEL,2011-03-17 10:25:06.009,107,486,1.511719,-0.2460938,-0.546875
ACCEL,2011-03-17 10:25:06.029,107,487,3.253906,-0.2890625,-0.6015625
ACCEL,2011-03-17 10:25:06.049,107,488,3.25,-0.640625,-0.9257813
ACCEL,2011-03-17 10:25:06.069,107,489,2.160156,-0.4257813,-0.6484375
ACCEL,2011-03-17 10:25:06.089,107,490,1.398438,-0.5898438,-0.15625
ACCEL,2011-03-17 10:25:06.109,107,491,0.9453125,-0.3046875,-0.03515625
ACCEL,2011-03-17 10:25:06.130,107,492,0.5625,-0.0546875,-0.015625
ACCEL,2011-03-17 10:25:06.150,107,493,0.1953125,-0.01953125,-0.05859375
ACCEL,2011-03-17 10:25:06.170,107,494,0.2382813,0.3359375,-0.08203125
ACCEL,2011-03-17 10:25:06.190,107,495,-0.4453125,-0.04296875,-0.0546875
ACCEL,2011-03-17 10:25:06.210,107,496,-0.546875,0.046875,0
ACCEL,2011-03-17 10:25:06.230,107,497,-0.03125,0,-0.05859375
ACCEL,2011-03-17 10:25:06.250,107,498,1.515625,-0.1875,-0.234375
ACCEL,2011-03-17 10:25:06.281,107,499,3.191406,-0.3320313,-0.78125
ACCEL,2011-03-17 10:25:06.301,107,500,2.730469,-0.7148438,-2.058594
ACCEL,2011-03-17 10:25:06.321,107,501,2.0625,-0.71875,-1.015625
ACCEL,2011-03-17 10:25:06.341,107,502,1.335938,-0.5390625,-0.4453125
ACCEL,2011-03-17 10:25:06.361,107,503,0.8515625,-0.3007813,-0.2539063
ACCEL,2011-03-17 10:25:06.381,107,504,0.4375,-0.0625,-0.06640625
ACCEL,2011-03-17 10:25:06.401,107,505,0.09375,-0.046875,-0.05078125
ACCEL,2011-03-17 10:25:06.421,107,506,-0.171875,0.1015625,-0.1171875
ACCEL,2011-03-17 10:25:06.442,107,507,-0.8867188,0.00390625,0.2265625
ACCEL,2011-03-17 10:25:06.462,107,508,-0.3320313,0.0625,0.1445313
ACCEL,2011-03-17 10:25:06.482,107,509,0.8125,0.1289063,-0.08984375
ACCEL,2011-03-17 10:25:06.502,107,510,2.460938,-0.1796875,-0.3203125
ACCEL,2011-03-17 10:25:06.522,107,511,3.09375,-0.4726563,-1.015625
ACCEL,2011-03-17 10:25:06.542,107,512,2.769531,-0.5742188,-0.9453125
ACCEL,2011-03-17 10:25:06.562,107,513,1.867188,-0.3125,-0.5859375
ACCEL,2011-03-17 10:25:06.563,107,514,1.238281,-0.4414063,-0.2539063
ACCEL,2011-03-17 10:25:06.583,107,515,0.8476563,-0.1953125,-0.1210938
ACCEL,2011-03-17 10:25:06.603,107,516,0.3515625,-0.02734375,-0.1054688
ACCEL,2011-03-17 10:25:06.623,107,517,0.06640625,-0.05078125,-0.05859375
ACCEL,2011-03-17 10:25:06.643,107,518,-0.8671875,0.1601563,0.4492188
ACCEL,2011-03-17 10:25:06.663,107,519,-0.6914063,0.1054688,0.2109375
ACCEL,2011-03-17 10:25:06.683,107,520,-0.04296875,0.03515625,0.05859375
ACCEL,2011-03-17 10:25:06.703,107,521,2.042969,-0.05078125,-0.1640625
ACCEL,2011-03-17 10:25:06.735,107,522,3.152344,-0.3789063,-0.4140625
ACCEL,2011-03-17 10:25:06.755,107,523,2.886719,-0.5976563,-1.265625
ACCEL,2011-03-17 10:25:06.775,107,524,2.078125,-0.6328125,-1.007813
ACCEL,2011-03-17 10:25:06.795,107,525,1.34375,-0.4921875,-0.4882813
ACCEL,2011-03-17 10:25:06.815,107,526,0.9335938,-0.28125,-0.2695313
ACCEL,2011-03-17 10:25:06.835,107,527,0.5507813,-0.05859375,-0.1757813
ACCEL,2011-03-17 10:25:06.855,107,528,0.1328125,-0.03125,-0.0703125
ACCEL,2011-03-17 10:25:06.875,107,529,-0.5273438,0.1992188,0.07421875
ACCEL,2011-03-17 10:25:06.891,107,530,-0.5898438,0.1210938,0.03515625
ACCEL,2011-03-17 10:25:06.911,107,531,-0.2148438,0.1601563,0.1171875
ACCEL,2011-03-17 10:25:06.931,107,532,0.96875,-0.02734375,-0.3398438
ACCEL,2011-03-17 10:25:06.951,107,533,2.425781,-0.25,-0.8007813
ACCEL,2011-03-17 10:25:06.971,107,534,3.277344,-0.4726563,-0.6757813
ACCEL,2011-03-17 10:25:06.991,107,535,2.46875,-0.7148438,-0.7890625
ACCEL,2011-03-17 10:25:07.011,107,536,1.691406,-0.6054688,-0.296875
ACCEL,2011-03-17 10:25:07.031,107,537,1.1875,-0.3554688,-0.1015625
ACCEL,2011-03-17 10:25:07.047,107,538,0.7382813,-0.08984375,-0.09765625
ACCEL,2011-03-17 10:25:07.067,107,539,0.296875,-0.01171875,-0.1054688
ACCEL,2011-03-17 10:25:07.087,107,540,0.06640625,0.1445313,-0.109375
ACCEL,2011-03-17 10:25:07.107,107,541,-0.6445313,0.1289063,-0.265625
ACCEL,2011-03-17 10:25:07.127,107,542,-0.59375,-0.00390625,-0.00390625
ACCEL,2011-03-17 10:25:07.147,107,543,0.0078125,0.01953125,0.6367188
ACCEL,2011-03-17 10:25:07.167,107,544,1.832031,-0.09375,-0.3359375
ACCEL,2011-03-17 10:25:07.187,107,545,2.949219,-0.3398438,-0.859375
ACCEL,2011-03-17 10:25:07.219,107,546,3.316406,-0.4921875,-0.6835938
ACCEL,2011-03-17 10:25:07.239,107,547,2.320313,-0.375,-0.7421875
ACCEL,2011-03-17 10:25:07.259,107,548,1.453125,-0.5078125,-0.2773438
ACCEL,2011-03-17 10:25:07.279,107,549,0.90625,-0.2226563,-0.15625
ACCEL,2011-03-17 10:25:07.299,107,550,0.5273438,-0.0390625,-0.1523438
ACCEL,2011-03-17 10:25:07.319,107,551,0.1523438,0.01953125,-0.0703125
ACCEL,2011-03-17 10:25:07.339,107,552,-0.1992188,0.1015625,-0.0078125
ACCEL,2011-03-17 10:25:07.359,107,553,-0.5703125,0.01953125,0.0703125
ACCEL,2011-03-17 10:25:07.375,107,554,-0.359375,0.04296875,0.1367188
ACCEL,2011-03-17 10:25:07.395,107,555,1.554688,-0.04296875,-0.1054688
ACCEL,2011-03-17 10:25:07.415,107,556,2.679688,-0.2382813,-0.4609375
ACCEL,2011-03-17 10:25:07.435,107,557,3.308594,-0.4179688,-1.058594
ACCEL,2011-03-17 10:25:07.455,107,558,2.699219,-0.3867188,-0.8671875
