800,,,,,,
shaving,68,75,,,,
ACCEL,2011-03-17 11:04:14.343,106,372,-0.05859375,0.05078125,-0.8515625
ACCEL,2011-03-17 11:04:14.355,106,373,-0.15625,-0.08984375,-1.296875
ACCEL,2011-03-17 11:04:14.375,106,374,-0.1640625,-0.04296875,-1.429688
ACCEL,2011-03-17 11:04:14.395,106,375,-0.25,-0.0625,-1.566406
ACCEL,2011-03-17 11:04:14.415,106,376,-0.1523438,0.0234375,-1.503906
ACCEL,2011-03-17 11:04:14.435,106,377,-0.2734375,-0.1015625,-1.261719
ACCEL,2011-03-17 11:04:14.455,106,378,0.00390625,0.09765625,-1
ACCEL,2011-03-17 11:04:14.475,106,379,-0.01953125,-0.015625,-0.8867188
ACCEL,2011-03-17 11:04:14.495,106,380,-0.05078125,-0.04296875,-0.7226563
ACCEL,2011-03-17 11:04:14.515,106,381,-0.125,-0.2226563,-0.7070313
ACCEL,2011-03-17 11:04:14.531,106,382,0.1015625,0.1757813,-0.3671875
ACCEL,2011-03-17 11:04:14.551,106,383,-0.1445313,-0.1992188,-0.6289063
ACCEL,2011-03-17 11:04:14.571,106,384,-0.0859375,-0.1640625,-0.828125
ACCEL,2011-03-17 11:04:14.591,106,385,0.03515625,0.01953125,-0.6953125
ACCEL,2011-03-17 11:04:14.611,106,386,0.04296875,-0.02734375,-1.113281
ACCEL,2011-03-17 11:04:14.631,106,387,-0.06640625,-0.05078125,-1.125
ACCEL,2011-03-17 11:04:14.651,106,388,-0.1328125,0.08203125,-1.417969
ACCEL,2011-03-17 11:04:14.671,106,389,-0.2109375,0.0234375,-1.492188
ACCEL,2011-03-17 11:04:14.688,106,390,-0.2851563,-0.05078125,-1.421875
ACCEL,2011-03-17 11:04:14.708,106,391,-0.3007813,-0.05859375,-1.292969
ACCEL,2011-03-17 11:04:14.728,106,392,-0.2304688,-0.0625,-1.164063
ACCEL,2011-03-17 11:04:14.748,106,393,-0.1601563,-0.0703125,-1.039063
ACCEL,2011-03-17 11:04:14.768,106,394,-0.1015625,-0.07421875,-0.90625
ACCEL,2011-03-17 11:04:14.788,106,395,-0.09765625,0.015625,-0.6757813
ACCEL,2011-03-17 11:04:14.808,106,396,0.0625,-0.06640625,-0.5898438
ACCEL,2011-03-17 11:04:14.828,106,397,-0.1289063,-0.125,-0.5703125
ACCEL,2011-03-17 11:04:14.844,106,398,-0.0390625,0.01171875,-0.6835938
ACCEL,2011-03-17 11:04:14.864,106,399,-0.2109375,-0.1953125,-0.9804688
ACCEL,2011-03-17 11:04:14.884,106,400,-0.1289063,0.0390625,-0.703125
ACCEL,2011-03-17 11:04:14.904,106,401,-0.08984375,0.0703125,-1.152344
ACCEL,2011-03-17 11:04:14.924,106,402,-0.1289063,-0.03515625,-1.398438
ACCEL,2011-03-17 11:04:14.944,106,403,-0.1289063,-0.0078125,-1.550781
ACCEL,2011-03-17 11:04:14.964,106,404,-0.3203125,-0.0703125,-1.464844
ACCEL,2011-03-17 11:04:14.984,106,405,-0.4023438,-0.078125,-1.277344
ACCEL,2011-03-17 11:04:15.000,106,406,-0.2734375,-0.01953125,-1.230469
ACCEL,2011-03-17 11:04:15.020,106,407,-0.1523438,0.00390625,-1.066406
ACCEL,2011-03-17 11:04:15.040,106,408,-0.109375,-0.015625,-0.9257813
ACCEL,2011-03-17 11:04:15.060,106,409,-0.1328125,-0.046875,-0.7734375
ACCEL,2011-03-17 11:04:15.080,106,410,-0.015625,-0.03515625,-0.5078125
ACCEL,2011-03-17 11:04:15.100,106,411,-0.1328125,-0.08203125,-0.546875
ACCEL,2011-03-17 11:04:15.120,106,412,-0.1054688,-0.1757813,-0.6132813
ACCEL,2011-03-17 11:04:15.140,106,413,0.15625,0.00390625,-0.609375
ACCEL,2011-03-17 11:04:15.141,106,414,-0.1289063,-0.171875,-1.253906
ACCEL,2011-03-17 11:04:15.161,106,415,-0.2304688,-0.109375,-1.066406
ACCEL,2011-03-17 11:04:15.181,106,416,-0.1875,0.0625,-1.28125
ACCEL,2011-03-17 11:04:15.201,106,417,-0.1757813,0.04296875,-1.429688
ACCEL,2011-03-17 11:04:15.221,106,418,-0.3125,-0.03515625,-1.480469
ACCEL,2011-03-17 11:04:15.241,106,419,-0.2539063,-0.0078125,-1.316406
ACCEL,2011-03-17 11:04:15.261,106,420,-0.1289063,0.0546875,-1.078125
ACCEL,2011-03-17 11:04:15.281,106,421,-0.2148438,-0.046875,-1.363281
ACCEL,2011-03-17 11:04:15.308,106,422,-0.125,-0.00390625,-0.984375
ACCEL,2011-03-17 11:04:15.328,106,423,-0.05078125,-0.01171875,-0.7890625
ACCEL,2011-03-17 11:04:15.348,106,424,-0.0703125,-0.01953125,-0.9765625
ACCEL,2011-03-17 11:04:15.368,106,425,-0.03515625,-0.1054688,-0.5351563
ACCEL,2011-03-17 11:04:15.388,106,426,0.0078125,-0.0859375,-0.5390625
ACCEL,2011-03-17 11:04:15.408,106,427,-0.0078125,-0.1132813,-0.8203125
ACCEL,2011-03-17 11:04:15.428,106,428,-0.1757813,-0.1484375,-1.085938
ACCEL,2011-03-17 11:04:15.448,106,429,-0.046875,-0.03125,-0.9609375
ACCEL,2011-03-17 11:04:15.468,106,430,-0.1875,-0.0078125,-1.019531
ACCEL,2011-03-17 11:04:15.480,106,431,-0.1210938,0.078125,-1.238281
ACCEL,2011-03-17 11:04:15.500,106,432,-0.6835938,-0.2695313,-0.9296875
ACCEL,2011-03-17 11:04:15.520,106,433,-0.3671875,0.1875,-1.386719
ACCEL,2011-03-17 11:04:15.540,106,434,-0.3007813,0.01171875,-1.253906
ACCEL,2011-03-17 11:04:15.560,106,435,-0.25,-0.02734375,-1.191406
ACCEL,2011-03-17 11:04:15.580,106,436,-0.078125,0.01953125,-1.101563
ACCEL,2011-03-17 11:04:15.600,106,437,-0.1679688,-0.09765625,-1
ACCEL,2011-03-17 11:04:15.620,106,438,-0.3789063,0.0546875,-0.8789063
ACCEL,2011-03-17 11:04:15.640,106,439,0.01171875,0.0078125,-0.6640625
ACCEL,2011-03-17 11:04:15.656,106,440,-0.03125,0.015625,-0.53125
ACCEL,2011-03-17 11:04:15.676,106,441,-0.2773438,-0.1875,-0.609375
ACCEL,2011-03-17 11:04:15.696,106,442,-0.04296875,-0.046875,-0.7773438
ACCEL,2011-03-17 11:04:15.716,106,443,-0.3359375,-0.3554688,-1.113281
ACCEL,2011-03-17 11:04:15.736,106,444,0.03125,0.0625,-0.5273438
ACCEL,2011-03-17 11:04:15.756,106,445,-0.1289063,0.0078125,-1.207031
ACCEL,2011-03-17 11:04:15.776,106,446,-0.2382813,-0.09375,-1.136719
ACCEL,2011-03-17 11:04:15.796,106,447,-0.1601563,0,-1.332031
ACCEL,2011-03-17 11:04:15.808,106,448,-0.2929688,-0.03125,-1.390625
ACCEL,2011-03-17 11:04:15.828,106,449,-0.3046875,-0.015625,-1.296875
ACCEL,2011-03-17 11:04:15.848,106,450,-0.3320313,-0.07421875,-1.222656
ACCEL,2011-03-17 11:04:15.868,106,451,-0.234375,-0.0546875,-1.109375
ACCEL,2011-03-17 11:04:15.888,106,452,-0.1523438,-0.08203125,-0.9960938
ACCEL,2011-03-17 11:04:15.908,106,453,-0.0234375,-0.015625,-0.765625
ACCEL,2011-03-17 11:04:15.928,106,454,-0.1210938,-0.05859375,-0.7890625
ACCEL,2011-03-17 11:04:15.948,106,455,0.06640625,-0.0234375,-0.5546875
ACCEL,2011-03-17 11:04:15.968,106,456,-0.05859375,-0.171875,-0.640625
ACCEL,2011-03-17 11:04:15.989,106,457,-0.0390625,-0.06640625,-0.8710938
ACCEL,2011-03-17 11:04:16.009,106,458,-0.28125,-0.2773438,-1.183594
ACCEL,2011-03-17 11:04:16.029,106,459,0.01171875,0.0703125,-0.5898438
ACCEL,2011-03-17 11:04:16.049,106,460,0.8789063,0.4570313,-1.183594
ACCEL,2011-03-17 11:04:16.069,106,461,-0.0390625,-0.1757813,-1.066406
ACCEL,2011-03-17 11:04:16.089,106,462,-0.1835938,-0.140625,-1.304688
ACCEL,2011-03-17 11:04:16.109,106,463,-0.1992188,-0.04296875,-1.324219
ACCEL,2011-03-17 11:04:16.121,106,464,-0.2460938,-0.08203125,-1.234375
ACCEL,2011-03-17 11:04:16.141,106,465,-0.01171875,0.03125,-0.8515625
ACCEL,2011-03-17 11:04:16.161,106,466,-0.15625,-0.0703125,-1.003906
ACCEL,2011-03-17 11:04:16.181,106,467,0.03515625,0.015625,-0.828125
ACCEL,2011-03-17 11:04:16.201,106,468,0.0390625,0.02734375,-0.6796875
ACCEL,2011-03-17 11:04:16.221,106,469,-0.05859375,-0.04296875,-0.5546875
ACCEL,2011-03-17 11:04:16.241,106,470,-0.05859375,-0.1367188,-0.65625
ACCEL,2011-03-17 11:04:16.261,106,471,0.06640625,-0.0625,-0.9414063
ACCEL,2011-03-17 11:04:16.281,106,472,-0.0078125,-0.1210938,-0.9179688
ACCEL,2011-03-17 11:04:16.301,106,473,0.01953125,-0.08984375,-1.070313
ACCEL,2011-03-17 11:04:16.321,106,474,-0.05078125,-0.06640625,-1.203125
ACCEL,2011-03-17 11:04:16.341,106,475,-0.1523438,-0.1289063,-1.226563
ACCEL,2011-03-17 11:04:16.361,106,476,-0.05859375,-0.04296875,-1.402344
ACCEL,2011-03-17 11:04:16.381,106,477,-0.2148438,-0.08984375,-1.386719
ACCEL,2011-03-17 11:04:16.401,106,478,-0.265625,-0.0859375,-1.210938
ACCEL,2011-03-17 11:04:16.421,106,479,-0.2617188,-0.03515625,-1.195313
ACCEL,2011-03-17 11:04:16.438,106,480,-0.2226563,-0.0234375,-0.7929688
ACCEL,2011-03-17 11:04:16.458,106,481,-0.1367188,-0.125,-0.8789063
ACCEL,2011-03-17 11:04:16.478,106,482,0.05078125,-0.03125,-0.640625
ACCEL,2011-03-17 11:04:16.498,106,483,0.09375,0,-0.609375
ACCEL,2011-03-17 11:04:16.518,106,484,0.08203125,-0.0546875,-0.4882813
ACCEL,2011-03-17 11:04:16.538,106,485,-0.04296875,-0.1523438,-0.7421875
ACCEL,2011-03-17 11:04:16.558,106,486,0.04296875,-0.1171875,-1.03125
ACCEL,2011-03-17 11:04:16.578,106,487,0.0234375,-0.01953125,-1.054688
ACCEL,2011-03-17 11:04:16.574,106,488,-0.08984375,-0.140625,-1.308594
ACCEL,2011-03-17 11:04:16.594,106,489,-0.171875,-0.09765625,-1.105469
ACCEL,2011-03-17 11:04:16.614,106,490,-0.02734375,-0.03515625,-1.492188
ACCEL,2011-03-17 11:04:16.634,106,491,-0.1679688,-0.1601563,-1.460938
ACCEL,2011-03-17 11:04:16.654,106,492,-0.3242188,-0.1132813,-1.335938
ACCEL,2011-03-17 11:04:16.674,106,493,-0.25,-0.046875,-1.21875
ACCEL,2011-03-17 11:04:16.694,106,494,1.445313,0.390625,-0.5703125
ACCEL,2011-03-17 11:04:16.714,106,495,0.109375,-0.3828125,-1.535156
ACCEL,2011-03-17 11:04:16.734,106,496,0.04296875,0.04296875,-0.8320313
ACCEL,2011-03-17 11:04:16.766,106,497,0.1132813,-0.00390625,-0.59375
ACCEL,2011-03-17 11:04:16.786,106,498,-0.015625,-0.08203125,-0.6171875
ACCEL,2011-03-17 11:04:16.806,106,499,-0.03515625,-0.078125,-0.7109375
ACCEL,2011-03-17 11:04:16.826,106,500,-0.09765625,-0.1367188,-1
ACCEL,2011-03-17 11:04:16.846,106,501,-0.1601563,-0.25,-1.171875
ACCEL,2011-03-17 11:04:16.866,106,502,-0.109375,-0.07421875,-0.8945313
ACCEL,2011-03-17 11:04:16.886,106,503,-0.7539063,-0.578125,-1.957031
ACCEL,2011-03-17 11:04:16.906,106,504,-0.046875,-0.0234375,-1.230469
ACCEL,2011-03-17 11:04:16.906,106,505,-0.328125,-0.1289063,-1.324219
ACCEL,2011-03-17 11:04:16.926,106,506,-0.2851563,-0.1523438,-1.324219
ACCEL,2011-03-17 11:04:16.946,106,507,-0.21875,-0.1289063,-1.214844
ACCEL,2011-03-17 11:04:16.966,106,508,-0.1328125,-0.1171875,-1.089844
ACCEL,2011-03-17 11:04:16.986,106,509,-0.09375,-0.0859375,-0.9453125
ACCEL,2011-03-17 11:04:17.006,106,510,0.05078125,0.03125,-0.6875
ACCEL,2011-03-17 11:04:17.026,106,511,0.140625,0.1015625,-0.515625
ACCEL,2011-03-17 11:04:17.046,106,512,0.0703125,-0.078125,-0.515625
ACCEL,2011-03-17 11:04:17.063,106,513,0.015625,-0.08984375,-0.8632813
ACCEL,2011-03-17 11:04:17.083,106,514,-0.04296875,-0.06640625,-0.9296875
ACCEL,2011-03-17 11:04:17.103,106,515,0.06640625,0.0234375,-1.113281
ACCEL,2011-03-17 11:04:17.123,106,516,-0.05078125,0.03515625,-1.265625
ACCEL,2011-03-17 11:04:17.143,106,517,-0.0703125,-0.05078125,-1.242188
ACCEL,2011-03-17 11:04:17.163,106,518,0.03125,-0.08203125,-1.363281
ACCEL,2011-03-17 11:04:17.183,106,519,-0.01953125,-0.015625,-1.429688
ACCEL,2011-03-17 11:04:17.203,106,520,-0.1445313,-0.015625,-1.222656
ACCEL,2011-03-17 11:04:17.239,106,521,-0.234375,-0.15625,-1.175781
ACCEL,2011-03-17 11:04:17.259,106,522,0.00390625,0.0078125,-1.042969
ACCEL,2011-03-17 11:04:17.279,106,523,0.46875,0.015625,-0.9296875
ACCEL,2011-03-17 11:04:17.299,106,524,-0.046875,-0.0390625,-0.7773438
ACCEL,2011-03-17 11:04:17.319,106,525,0.0390625,-0.015625,-0.6953125
ACCEL,2011-03-17 11:04:17.339,106,526,0.15625,-0.015625,-0.6640625
ACCEL,2011-03-17 11:04:17.359,106,527,0.0625,-0.0859375,-0.9101563
ACCEL,2011-03-17 11:04:17.360,106,528,-0.1015625,-0.09765625,-0.9296875
ACCEL,2011-03-17 11:04:17.380,106,529,-0.109375,-0.05859375,-1.042969
ACCEL,2011-03-17 11:04:17.400,106,530,0.08984375,-0.046875,-1.1875
ACCEL,2011-03-17 11:04:17.420,106,531,0.1601563,-0.078125,-1.332031
ACCEL,2011-03-17 11:04:17.440,106,532,0.0234375,-0.125,-1.320313
ACCEL,2011-03-17 11:04:17.460,106,533,-0.109375,-0.109375,-1.316406
ACCEL,2011-03-17 11:04:17.480,106,534,0.0234375,0,-1.175781
ACCEL,2011-03-17 11:04:17.500,106,535,0.00390625,-0.0234375,-1.175781
ACCEL,2011-03-17 11:04:17.527,106,536,-0.1132813,-0.015625,-0.9726563
ACCEL,2011-03-17 11:04:17.547,106,537,-0.01171875,-0.0546875,-0.7617188
ACCEL,2011-03-17 11:04:17.567,106,538,-0.04296875,-0.0390625,-0.7539063
ACCEL,2011-03-17 11:04:17.587,106,539,-0.07421875,-0.09375,-0.8125
ACCEL,2011-03-17 11:04:17.607,106,540,-0.0234375,-0.01953125,-0.9023438
ACCEL,2011-03-17 11:04:17.627,106,541,0.01171875,-0.07421875,-0.6914063
ACCEL,2011-03-17 11:04:17.647,106,542,-0.05078125,-0.1367188,-0.8554688
ACCEL,2011-03-17 11:04:17.667,106,543,0.1367188,-0.1132813,-0.9570313
ACCEL,2011-03-17 11:04:17.687,106,544,0.05078125,-0.2695313,-1.128906
ACCEL,2011-03-17 11:04:17.683,106,545,-0.02734375,-0.125,-1.289063
ACCEL,2011-03-17 11:04:17.703,106,546,-0.046875,-0.1328125,-0.9765625
ACCEL,2011-03-17 11:04:17.723,106,547,-0.08203125,0.0078125,-1.054688
ACCEL,2011-03-17 11:04:17.743,106,548,-0.06640625,0.0703125,-1.023438
ACCEL,2011-03-17 11:04:17.763,106,549,-0.1523438,0.00390625,-1.070313
ACCEL,2011-03-17 11:04:17.783,106,550,-0.1601563,-0.02734375,-1.105469
ACCEL,2011-03-17 11:04:17.803,106,551,-0.15625,-0.04296875,-1.277344
ACCEL,2011-03-17 11:04:17.823,106,552,-0.234375,-0.05078125,-1.273438
ACCEL,2011-03-17 11:04:17.843,106,553,-0.09765625,0.0546875,-1.089844
ACCEL,2011-03-17 11:04:17.880,106,554,-0.1601563,-0.0625,-1.21875
ACCEL,2011-03-17 11:04:17.900,106,555,-0.0390625,0.04296875,-1.027344
ACCEL,2011-03-17 11:04:17.920,106,556,-0.04296875,-0.01171875,-0.796875
ACCEL,2011-03-17 11:04:17.940,106,557,-0.1328125,-0.0859375,-0.7695313
ACCEL,2011-03-17 11:04:17.960,106,558,0.03125,-0.046875,-0.703125
ACCEL,2011-03-17 11:04:17.980,106,559,0.01953125,-0.03515625,-0.875
ACCEL,2011-03-17 11:04:18.000,106,560,-0.03515625,-0.171875,-0.75
ACCEL,2011-03-17 11:04:18.016,106,561,-0.01171875,-0.1601563,-0.9804688
ACCEL,2011-03-17 11:04:18.036,106,562,0.1953125,0.15625,-1.125
ACCEL,2011-03-17 11:04:18.056,106,563,-0.0859375,-0.1484375,-1.113281
ACCEL,2011-03-17 11:04:18.076,106,564,-0.05859375,-0.1328125,-1.132813
ACCEL,2011-03-17 11:04:18.096,106,565,-0.09765625,-0.0546875,-1.355469
ACCEL,2011-03-17 11:04:18.116,106,566,-0.2929688,-0.1757813,-1.355469
ACCEL,2011-03-17 11:04:18.136,106,567,-0.3164063,-0.125,-1.324219
ACCEL,2011-03-17 11:04:18.156,106,568,-0.203125,-0.08203125,-1.265625
ACCEL,2011-03-17 11:04:18.172,106,569,0.0234375,0.0078125,-1.207031
ACCEL,2011-03-17 11:04:18.192,106,570,-0.1289063,-0.1054688,-0.7421875
ACCEL,2011-03-17 11:04:18.212,106,571,0.03515625,-0.03125,-0.6757813
ACCEL,2011-03-17 11:04:18.232,106,572,0.1171875,0.03515625,-0.5898438
ACCEL,2011-03-17 11:04:18.252,106,573,-0.08203125,-0.078125,-0.6875
ACCEL,2011-03-17 11:04:18.272,106,574,0.0859375,0.08203125,-0.8984375
ACCEL,2011-03-17 11:04:18.292,106,575,-0.046875,-0.02734375,-0.90625
ACCEL,2011-03-17 11:04:18.312,106,576,0.01171875,0.05078125,-0.9648438
ACCEL,2011-03-17 11:04:18.308,106,577,-0.234375,-0.2773438,-1.1875
ACCEL,2011-03-17 11:04:18.328,106,578,-0.08203125,0.0625,-1.296875
ACCEL,2011-03-17 11:04:18.348,106,579,-0.3164063,-0.1875,-1.832031
ACCEL,2011-03-17 11:04:18.368,106,580,-0.2695313,-0.0546875,-1.386719
ACCEL,2011-03-17 11:04:18.388,106,581,-0.2226563,-0.0546875,-1.226563
ACCEL,2011-03-17 11:04:18.408,106,582,-0.1289063,-0.03515625,-1.152344
ACCEL,2011-03-17 11:04:18.428,106,583,-0.07421875,-0.0546875,-1.019531
ACCEL,2011-03-17 11:04:18.448,106,584,0,-0.02734375,-1.234375
ACCEL,2011-03-17 11:04:18.468,106,585,0.0546875,-0.0703125,-0.4765625
ACCEL,2011-03-17 11:04:18.480,106,586,0.01953125,-0.02734375,-0.65625
ACCEL,2011-03-17 11:04:18.500,106,587,0.03515625,-0.140625,-0.578125
ACCEL,2011-03-17 11:04:18.520,106,588,0.06640625,-0.05078125,-0.8632813
ACCEL,2011-03-17 11:04:18.540,106,589,-0.1132813,-0.08984375,-1.007813
